continue_drop,student_id,gender,caste,mathematics_marks,english_marks,science_marks,science_teacher,languages_teacher,guardian,internet,school_id,total_students,total_toilets,establishment_year
0,s00001,2,3,0.409,0.514,0.409,6,0,2,1,310,262,28.0,1985.0
0,s00002,2,2,0.29,0.512,0.29,4,7,2,1,328,356,14.0,1943.0
0,s00003,2,1,0.602,0.6659999999999999,0.602,4,2,2,0,322,179,8.0,1955.0
0,s00004,2,2,0.37799999999999995,0.526,0.37799999999999995,8,7,2,1,305,354,86.0,1986.0
0,s00005,2,1,0.536,0.614,0.536,9,4,0,1,360,273,2.0,1995.0
0,s00006,2,2,0.594,0.519,0.594,4,8,2,1,333,335,43.0,1916.0
0,s00007,2,1,0.177,0.525,0.177,6,7,1,1,351,251,100.0,1924.0
0,s00008,2,1,0.48,0.457,0.48,2,9,2,1,372,99,14.0,1956.0
0,s00009,2,1,0.821,0.728,0.821,2,2,1,1,389,299,1.0,1921.0
0,s00010,2,2,0.418,0.322,0.418,8,10,1,0,342,295,18.0,1907.0
0,s00011,2,1,0.757,0.664,0.757,8,6,2,1,324,170,31.0,1949.0
0,s00012,2,1,0.133,0.5660000000000001,0.133,2,2,2,1,338,145,2.0,1929.0
0,s00013,2,3,0.5660000000000001,0.495,0.5660000000000001,0,4,1,1,366,62,28.0,1897.0
0,s00014,2,2,0.413,0.598,0.413,1,6,1,1,301,49,14.0,1844.0
0,s00015,2,2,0.461,0.524,0.461,0,3,2,1,392,469,14.0,1905.0
0,s00016,2,1,0.742,0.672,0.742,3,12,2,1,383,132,14.0,1996.0
1,s00017,2,2,0.503,0.523,0.503,9,0,1,1,362,397,5.0,1950.0
0,s00018,2,1,0.32,0.408,0.32,9,6,2,1,300,198,28.0,1913.0
0,s00019,2,3,0.306,0.485,0.306,5,6,1,0,393,111,10.0,2006.0
0,s00020,2,2,0.107,0.507,0.107,7,5,1,1,392,469,14.0,1905.0
0,s00021,2,4,0.38,0.426,0.38,9,4,2,1,353,359,8.0,1986.0
0,s00022,2,2,0.746,0.669,0.746,3,6,2,1,341,430,44.0,1959.0
1,s00023,2,4,0.6809999999999999,0.758,0.6809999999999999,5,3,2,1,386,220,30.0,1847.0
0,s00024,2,3,0.895,0.615,0.895,4,0,2,1,365,444,14.0,1970.0
0,s00025,2,2,0.132,0.759,0.132,4,0,2,1,318,54,17.0,1867.0
0,s00026,2,2,0.456,0.46,0.456,2,12,2,1,353,359,8.0,1986.0
0,s00027,2,2,0.444,0.574,0.444,4,0,1,1,382,470,71.0,1896.0
0,s00028,2,3,0.304,0.556,0.304,9,10,1,1,313,399,14.0,1916.0
0,s00029,2,1,0.36200000000000004,0.703,0.36200000000000004,0,5,2,1,310,262,28.0,1985.0
0,s00030,2,3,0.519,0.6629999999999999,0.519,8,0,2,1,305,354,86.0,1986.0
0,s00031,2,2,0.779,0.701,0.779,4,2,2,1,338,145,2.0,1929.0
0,s00032,2,2,0.5670000000000001,0.5579999999999999,0.5670000000000001,8,2,2,1,314,286,28.0,1903.0
0,s00033,2,2,0.391,0.5329999999999999,0.391,5,0,2,1,395,60,45.0,1860.0
0,s00034,2,2,0.355,0.373,0.355,7,4,2,1,336,206,17.0,1940.0
0,s00035,2,3,0.38,0.611,0.38,3,10,2,1,383,132,14.0,1996.0
0,s00036,2,2,0.304,0.474,0.304,0,2,2,1,333,335,43.0,1916.0
0,s00037,2,4,0.599,0.677,0.599,1,2,2,1,369,387,28.0,1921.0
0,s00038,2,2,0.449,0.475,0.449,3,5,1,1,391,161,14.0,1984.0
0,s00039,2,4,0.563,0.626,0.563,2,6,2,1,397,221,15.0,1915.0
0,s00040,2,2,0.41200000000000003,0.588,0.41200000000000003,6,6,1,1,351,251,100.0,1924.0
0,s00041,2,3,0.5660000000000001,0.855,0.5660000000000001,4,5,2,0,326,177,17.0,1986.0
0,s00042,2,3,0.366,0.625,0.366,6,8,2,1,326,177,17.0,1986.0
0,s00043,2,3,0.625,0.6559999999999999,0.625,4,4,2,1,310,262,28.0,1985.0
1,s00044,2,1,0.301,0.467,0.301,6,5,2,1,362,397,5.0,1950.0
0,s00045,2,3,0.08,0.41100000000000003,0.08,6,10,0,1,391,161,14.0,1984.0
1,s00046,2,2,0.623,0.6990000000000001,0.623,6,0,1,1,336,206,17.0,1940.0
0,s00047,2,2,0.44299999999999995,0.601,0.44299999999999995,0,6,2,0,389,299,1.0,1921.0
0,s00048,2,3,0.475,0.596,0.475,2,6,1,1,337,185,15.0,1975.0
1,s00049,2,2,0.157,0.674,0.157,1,8,2,1,386,220,30.0,1847.0
0,s00051,2,3,0.6609999999999999,0.406,0.6609999999999999,5,11,2,1,368,240,15.0,1893.0
0,s00052,2,2,0.6559999999999999,0.319,0.6559999999999999,4,6,2,1,362,397,5.0,1950.0
0,s00053,2,2,0.22899999999999998,0.6,0.22899999999999998,5,4,2,1,300,198,28.0,1913.0
0,s00054,2,3,0.28300000000000003,0.478,0.28300000000000003,1,10,2,1,351,251,100.0,1924.0
0,s00055,2,1,0.64,0.636,0.64,2,4,2,1,341,430,44.0,1959.0
0,s00056,2,2,0.662,0.632,0.662,3,3,2,1,344,220,71.0,1910.0
0,s00057,2,2,0.35100000000000003,0.46399999999999997,0.35100000000000003,5,4,2,1,365,444,14.0,1970.0
0,s00058,2,3,0.48,0.546,0.48,4,8,2,0,361,287,15.0,1992.0
0,s00059,2,2,0.544,0.597,0.544,5,5,2,1,386,220,30.0,1847.0
0,s00060,2,2,0.779,0.625,0.779,8,9,2,1,330,125,43.0,1959.0
0,s00061,2,1,0.299,0.445,0.299,1,4,2,1,312,257,14.0,1946.0
1,s00062,2,2,0.551,0.82,0.551,4,9,2,1,352,177,28.0,1905.0
0,s00063,2,3,0.41700000000000004,0.535,0.41700000000000004,3,7,1,0,323,344,28.0,1961.0
0,s00064,2,2,0.39799999999999996,0.39299999999999996,0.39799999999999996,3,10,2,1,312,257,14.0,1946.0
0,s00065,2,4,0.39299999999999996,0.685,0.39299999999999996,4,6,2,0,362,397,5.0,1950.0
0,s00066,2,2,0.519,0.43200000000000005,0.519,0,0,2,1,390,140,14.0,1972.0
0,s00067,2,1,0.20600000000000002,0.478,0.20600000000000002,3,7,2,1,398,116,1.0,1995.0
0,s00068,2,3,0.708,0.9490000000000001,0.708,1,6,1,1,323,344,28.0,1961.0
0,s00069,2,1,0.777,0.767,0.777,0,5,2,1,391,161,14.0,1984.0
0,s00070,2,3,0.544,0.563,0.544,2,7,2,1,320,384,28.0,1909.0
0,s00071,2,3,0.863,0.738,0.863,4,6,2,1,368,240,15.0,1893.0
0,s00072,2,2,0.39,0.511,0.39,4,10,2,1,348,80,14.0,1871.0
0,s00073,2,2,0.35200000000000004,0.569,0.35200000000000004,2,7,2,1,326,177,17.0,1986.0
0,s00074,2,2,0.59,0.5760000000000001,0.59,4,6,2,1,364,147,28.0,1911.0
0,s00075,2,2,0.757,0.882,0.757,6,7,2,1,334,571,61.0,1924.0
0,s00076,2,2,0.7440000000000001,0.899,0.7440000000000001,4,3,2,1,341,430,44.0,1959.0
0,s00077,2,1,0.639,0.614,0.639,4,0,2,1,390,140,14.0,1972.0
0,s00078,2,3,0.55,0.679,0.55,7,0,2,1,314,286,28.0,1903.0
0,s00079,2,1,0.67,0.7929999999999999,0.67,4,5,2,1,334,571,61.0,1924.0
0,s00080,2,3,0.584,0.536,0.584,2,10,2,1,359,305,44.0,1915.0
0,s00081,2,3,0.687,0.483,0.687,6,10,2,1,385,193,2.0,1989.0
0,s00082,2,4,0.434,0.611,0.434,2,5,1,1,339,245,14.0,1840.0
0,s00083,2,2,0.336,0.44799999999999995,0.336,6,10,2,0,393,111,10.0,2006.0
0,s00084,2,3,0.44299999999999995,0.424,0.44299999999999995,4,0,1,1,313,399,14.0,1916.0
0,s00085,2,4,0.51,0.44,0.51,2,0,2,1,371,136,2.0,1925.0
0,s00086,2,2,0.653,0.5720000000000001,0.653,5,6,2,1,386,220,30.0,1847.0
0,s00087,2,2,0.586,0.648,0.586,4,9,1,1,325,97,43.0,1842.0
0,s00088,2,2,0.34700000000000003,0.5379999999999999,0.34700000000000003,4,5,1,0,328,356,14.0,1943.0
0,s00090,2,4,0.8190000000000001,0.7979999999999999,0.8190000000000001,8,6,2,1,307,177,15.0,1926.0
0,s00091,2,4,0.6759999999999999,0.764,0.6759999999999999,0,5,2,1,334,571,61.0,1924.0
0,s00092,2,2,0.41600000000000004,0.5329999999999999,0.41600000000000004,0,4,2,1,323,344,28.0,1961.0
0,s00093,2,3,0.495,0.741,0.495,0,3,2,1,367,128,14.0,1969.0
0,s00094,2,1,0.5760000000000001,0.667,0.5760000000000001,7,3,2,0,389,299,1.0,1921.0
0,s00095,2,1,0.27699999999999997,0.465,0.27699999999999997,0,3,2,1,331,516,15.0,1996.0
0,s00096,2,3,0.401,0.5379999999999999,0.401,2,1,2,1,366,62,28.0,1897.0
0,s00097,2,3,0.626,0.7509999999999999,0.626,5,4,1,1,378,121,28.0,1971.0
0,s00098,2,1,0.413,0.831,0.413,8,3,1,1,336,206,17.0,1940.0
0,s00099,2,2,0.32799999999999996,0.547,0.32799999999999996,3,6,2,1,397,221,15.0,1915.0
0,s00100,2,2,0.503,0.446,0.503,4,4,2,1,391,161,14.0,1984.0
0,s00101,2,2,0.948,0.9390000000000001,0.948,4,4,2,0,339,245,14.0,1840.0
0,s00103,2,3,0.6659999999999999,0.727,0.6659999999999999,4,6,2,1,327,251,18.0,1984.0
0,s00104,2,3,0.235,0.483,0.235,1,7,1,1,326,177,17.0,1986.0
0,s00105,2,2,0.34700000000000003,0.643,0.34700000000000003,1,6,2,1,331,516,15.0,1996.0
0,s00107,2,2,0.284,0.5579999999999999,0.284,1,10,2,0,313,399,14.0,1916.0
0,s00108,2,3,0.22699999999999998,0.43200000000000005,0.22699999999999998,8,5,1,1,321,35,1.0,1983.0
0,s00109,2,3,0.14800000000000002,0.479,0.14800000000000002,4,5,2,0,397,221,15.0,1915.0
0,s00110,2,4,0.389,0.5820000000000001,0.389,4,6,2,1,374,207,28.0,1896.0
0,s00111,2,2,0.48200000000000004,0.698,0.48200000000000004,5,2,2,0,333,335,43.0,1916.0
0,s00112,2,2,0.613,0.696,0.613,1,2,2,1,343,353,15.0,1957.0
0,s00113,2,2,0.5,0.544,0.5,1,5,2,1,329,275,60.0,1914.0
0,s00114,2,2,0.474,0.562,0.474,9,4,2,1,332,93,14.0,1880.0
0,s00115,2,1,0.46,0.635,0.46,1,10,2,0,341,430,44.0,1959.0
0,s00116,2,3,0.35700000000000004,0.573,0.35700000000000004,6,6,1,0,341,430,44.0,1959.0
0,s00117,2,2,0.531,0.778,0.531,8,4,2,1,320,384,28.0,1909.0
0,s00118,2,2,0.79,0.865,0.79,0,10,1,0,365,444,14.0,1970.0
0,s00119,2,3,0.684,0.848,0.684,8,6,1,1,360,273,2.0,1995.0
0,s00120,2,1,0.885,0.985,0.885,5,5,1,1,367,128,14.0,1969.0
0,s00121,2,2,0.74,0.8690000000000001,0.74,4,3,2,1,353,359,8.0,1986.0
0,s00122,2,2,0.152,0.568,0.152,2,0,2,1,351,251,100.0,1924.0
0,s00123,2,2,0.413,0.611,0.413,3,2,2,0,353,359,8.0,1986.0
0,s00124,2,2,0.474,0.255,0.474,0,6,2,1,314,286,28.0,1903.0
0,s00125,2,2,0.757,0.48100000000000004,0.757,1,6,2,1,322,179,8.0,1955.0
0,s00126,2,2,0.6459999999999999,0.804,0.6459999999999999,8,0,2,1,368,240,15.0,1893.0
0,s00127,2,2,0.73,0.5539999999999999,0.73,6,3,2,1,362,397,5.0,1950.0
1,s00128,2,2,0.6970000000000001,0.9470000000000001,0.6970000000000001,6,3,2,1,362,397,5.0,1950.0
0,s00129,2,2,0.275,0.429,0.275,4,6,2,1,359,305,44.0,1915.0
0,s00130,2,2,0.531,0.564,0.531,5,3,2,0,318,54,17.0,1867.0
0,s00131,2,1,0.935,0.7340000000000001,0.935,8,5,2,1,382,470,71.0,1896.0
0,s00132,2,2,0.447,0.45,0.447,0,4,2,1,363,148,28.0,1895.0
0,s00133,2,2,0.444,0.5589999999999999,0.444,1,0,2,1,353,359,8.0,1986.0
0,s00134,2,3,0.794,0.667,0.794,4,6,2,1,305,354,86.0,1986.0
0,s00135,2,1,0.737,0.649,0.737,8,5,1,1,379,95,15.0,1981.0
0,s00136,2,3,0.631,0.6,0.631,3,6,1,1,359,305,44.0,1915.0
0,s00137,2,4,0.594,0.532,0.594,2,9,2,1,341,430,44.0,1959.0
0,s00138,2,2,0.23600000000000002,0.46399999999999997,0.23600000000000002,4,7,1,1,300,198,28.0,1913.0
0,s00139,2,2,0.737,0.836,0.737,2,6,1,1,315,280,1.0,1923.0
0,s00140,2,2,0.778,0.747,0.778,9,9,2,1,338,145,2.0,1929.0
0,s00141,2,3,0.386,0.632,0.386,9,0,2,1,352,177,28.0,1905.0
0,s00142,2,3,0.61,0.81,0.61,5,6,2,1,320,384,28.0,1909.0
0,s00143,2,2,0.674,0.5670000000000001,0.674,4,12,1,1,300,198,28.0,1913.0
0,s00144,2,1,0.494,0.5,0.494,6,8,2,1,340,134,15.0,1976.0
0,s00145,2,3,0.42200000000000004,0.436,0.42200000000000004,1,6,2,0,389,299,1.0,1921.0
0,s00146,2,3,0.068,0.31,0.068,3,9,2,1,302,191,2.0,1948.0
